SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
1,4,4,2,1,5,5,4,3,2,4,5,5,1,2,2,5,5,2,5,5,100,100,100,59,100,100,100,78,3,4,3
4,4,3,3,2,5,2,5,4,4,3,4,5,4,3,3,5,5,4,4,5,96,89,97,82,92,97,100,93,4,3,3
4,4,4,2,2,4,4,4,4,1,4,4,5,4,4,4,4,5,3,3,4,91,89,71,100,85,72,100,100,4,4,4
4,4,4,2,1,3,5,4,4,4,4,5,5,5,4,5,5,5,4,5,5,,,,,,,,,3,3,3
4,3,4,3,2,4,3,4,2,4,4,4,5,5,5,4,5,5,4,5,5,,,,,,,,,4,4,3
4,3,3,3,3,4,3,4,2,3,2,3,4,3,3,4,2,5,4,4,4,,,,,,,,,3,3,3
4,2,2,3,3,4,3,4,3,2,2,1,4,3,4,3,4,4,4,3,4,,,,,,,,,3,3,3
4,4,4,3,3,4,4,4,2,2,4,4,4,4,4,3,3,3,4,3,3,40,40,60,50,63,52,60,79,3,3,3
4,4,4,3,1,3,3,3,2,2,4,4,5,2,2,2,3,4,2,4,4,,,,,,,,,4,3,4
4,4,4,3,3,3,4,4,4,2,4,4,5,5,5,5,5,5,3,4,4,82,75,81,89,82,93,94,93,4,4,4
4,4,4,3,2,4,4,4,3,2,3,4,4,4,4,3,4,5,3,5,4,71,85,90,60,91,58,77,60,3,3,3
3,3,3,3,3,4,2,3,2,3,2,3,3,4,3,4,4,4,2,4,4,75,75,89,78,91,86,87,86,4,3,4
4,5,3,3,3,4,2,4,4,2,4,4,5,4,4,2,4,5,4,4,4,38,30,94,77,83,75,90,82,4,4,4
5,5,5,2,1,3,5,5,4,1,5,5,4,5,5,5,4,4,2,5,5,40,60,100,60,95,90,89,55,3,4,4
4,4,4,3,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,5,70,80,60,80,80,75,75,60,3,4,3
5,4,4,3,3,3,5,4,4,3,5,5,5,4,4,3,4,4,4,3,4,60,50,60,80,56,70,75,65,3,3,3
2,2,4,4,2,5,4,4,4,2,4,4,4,5,4,4,3,4,5,3,3,70,80,65,75,75,70,85,85,3,3,3
3,3,3,4,4,4,3,4,3,1,4,2,4,4,3,3,3,4,4,4,4,,,,,,,,,4,3,4
2,2,2,4,4,5,3,3,3,2,3,3,4,4,4,3,4,2,4,2,3,,,,,,,,,4,3,4
4,3,4,3,2,4,4,3,2,2,3,4,4,4,4,4,4,4,3,4,3,83,83,80,31,62,66,80,48,3,3,3
5,4,4,3,2,4,5,4,4,2,4,5,5,5,5,4,5,4,2,5,5,62,53,100,60,82,42,59,32,3,4,4
1,4,4,3,2,4,3,4,2,2,4,4,4,3,3,2,5,5,4,4,4,,,,,,,,,3,3,3
4,3,4,2,1,5,3,4,4,3,4,4,3,4,4,3,3,4,2,4,4,82,69,70,100,85,91,85,71,3,3,2
3,2,4,3,3,3,3,4,4,3,3,3,4,4,3,2,4,3,4,4,3,,,,,,,,,3,3,3
5,5,4,3,2,3,5,3,2,1,5,5,5,4,5,5,5,5,3,5,4,,,,,,,,,4,4,4
